,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
234,DATXC7KVS,02/01/2018 12:00:00 AM,BROWNSTONE BISTRO,90,A,1,ROUTINE INSPECTION,EE0000871,5047 W PICO BLVD,LOS ANGELES,FA0138744,CA,90019,OW0102058,CLIVE ANTHONY JACKSON,RESTAURANT (61-150) SEATS HIGH RISK,1638,BROWNSTONE BISTRO,ACTIVE,PR0123106,"['American (New)', 'Bars', 'Desserts']",False,34.04815,-118.34752,$$,4.0,212,HuCmNHfsz_VDfY7qraQ_Bg
235,DAQOYNBMA,02/01/2018 12:00:00 AM,YOGURTLAND USC GATEWAY,95,A,1,ROUTINE INSPECTION,EE0000594,3335 S FIGUEROA ST STE K,LOS ANGELES,FA0041743,CA,90007,OW0039769,YOGURTLAND INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,YOGURTLAND USC GATEWAY,ACTIVE,PR0034272,['Ice Cream & Frozen Yogurt'],False,34.02300933636,-118.27950081021,$,4.0,148,gYMhUx_NSheqhvD3agJ8fg
236,DAGCK1CU3,02/01/2018 12:00:00 AM,CRAVINGS,95,A,1,ROUTINE INSPECTION,EE0000924,10850 WILSHIRE BLVD,LOS ANGELES,FA0243638,CA,90024,OW0238905,CRAVINGS GRILL INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,CRAVINGS,ACTIVE,PR0191860,"['Mediterranean', 'Breakfast & Brunch']",False,34.0590132,-118.4416802,$,3.5,12,Ay_ISxUjUGaHfJpFNZew8A
237,DAEZ2CF0C,02/01/2018 12:00:00 AM,SUSHI TSUJITA,90,A,1,ROUTINE INSPECTION,EE0000684,2006 SAWTELLE BLVD,LOS ANGELES,FA0162689,CA,90025,OW0126402,SUSHI TSUJITA,RESTAURANT (31-60) SEATS HIGH RISK,1635,SUSHI TSUJITA,ACTIVE,PR0150830,"['Sushi Bars', 'Japanese']",False,34.0408863,-118.4434155,$$$$,4.0,256,uBQXxgepdDfVYFj9JAEtrw
238,DAG0RO3CA,02/01/2018 12:00:00 AM,EL BRONCO INC,93,A,1,ROUTINE INSPECTION,EE0001048,5427 VENICE BLVD,LOS ANGELES,FA0250306,CA,90019,OW0244440,EL BRONCO INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,EL BRONCO INC,ACTIVE,PR0199259,['Mexican'],False,34.044512,-118.3581,$,3.5,21,i3hJMSONx5-ju824U6I0Iw
239,DAY98FDK4,02/01/2018 12:00:00 AM,VICENTE FOODS-DELI,91,A,1,ROUTINE INSPECTION,EE0000727,12027 SAN VICENTE BLVD,LOS ANGELES,FA0039615,CA,90049,OW0024456,MIKE ADAMS & LAZAR BERNAHARD,RESTAURANT (0-30) SEATS HIGH RISK,1632,VICENTE FOODS-DELI,ACTIVE,PR0009209,['Grocery'],False,34.05244,-118.47388,$$$,4.0,107,RJ5XRNHeVAfqw-WK3BM5wg
240,DACWLOAYA,02/01/2018 12:00:00 AM,THE PONTE,90,A,1,ROUTINE INSPECTION,EE0000726,8265 BEVERLY BLVD,LOS ANGELES,FA0163228,CA,90045,OW0126893,TERRINE LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,THE PONTE,ACTIVE,PR0151416,"['Italian', 'Wine Bars', 'Breakfast & Brunch']",False,34.0762049,-118.36968,$$$,4.0,241,y0xy_TqE6Yvx2TYb_V4_-w
241,DAYGSN1E3,02/01/2018 12:00:00 AM,B BEE CREPE,96,A,1,ROUTINE INSPECTION,EE0000144,3760 S CENTINELA AVE,LOS ANGELES,FA0256075,CA,90066,OW0248855,TKY INCORPORATED,RESTAURANT (0-30) SEATS MODERATE RISK,1631,B BEE CREPE,ACTIVE,PR0205823,['Desserts'],False,34.00496,-118.43359,$,2.5,23,d1ZbNuqEVWTd8NcIDhrGKQ
242,DAJC7GOIQ,02/01/2018 12:00:00 AM,TASTIO DONUTS,93,A,1,ROUTINE INSPECTION,EE0000740,1833 E CESAR  CHAVEZ AVE STE A,LOS ANGELES,FA0179113,CA,90033,OW0184729,DAVID BOU,RESTAURANT (0-30) SEATS HIGH RISK,1632,TASTIO DONUTS,ACTIVE,PR0172667,['Donuts'],False,34.05051,-118.21525,$,4.5,12,jmIKjeD4PGtkoHAJFXpIUQ
243,DAIQ0REZX,02/01/2018 12:00:00 AM,NORTHERN CAFE,95,A,1,ROUTINE INSPECTION,EE0000951,8459 BEVERLY BLVD,LOS ANGELES,FA0245050,CA,90048,OW0240181,ZYJ CORP,RESTAURANT (31-60) SEATS HIGH RISK,1635,NORTHERN CAFE,ACTIVE,PR0193408,['Chinese'],False,34.0761949,-118.3751356,$$,4.0,198,kK2o4A2R9483zQ6IJBBGVg
244,DAMFUDTS8,02/01/2018 12:00:00 AM,SEA SALT FISH GRILL,93,A,1,ROUTINE INSPECTION,EE0000721,812 W 7TH ST,LOS ANGELES,FA0167521,CA,90017,OW0130552,QUAIL RIDGE FAMILY LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,SEA SALT FISH GRILL,ACTIVE,PR0157892,"['Seafood', 'Hawaiian']",False,34.0487526,-118.2591268,$$,4.0,690,6kvWWkoL0dWOEmFh2ui-vQ
245,DA220PYOA,02/01/2018 12:00:00 AM,SONORITAS PRIME TACO,90,A,1,ROUTINE INSPECTION,EE0000684,2004 SAWTELLE BLVD,LOS ANGELES,FA0174156,CA,90025,OW0180858,"SONORITAS, LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,SONORITAS PRIME TACO,ACTIVE,PR0167027,['Mexican'],False,34.04093,-118.44328,$$,4.0,480,9oQnnXSTo8i2TliFPktxLg
