,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
296,DA747U1AP,01/05/2016 12:00:00 AM,ASAVA THAI,93,A,1,ROUTINE INSPECTION,EE0000912,970 N WESTERN AVE,LOS ANGELES,FA0160147,CA,90029-3216,OW0125129,"ZAP CANTEEN, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,ASAVA THAI,INACTIVE,PR0148230,"['Thai', 'Asian Fusion']",True,34.0880617420969,-118.308991191081,$$,3.5,145,8325NKyo8lIrVt4KfQwqnQ
297,DAXMHWJB0,01/05/2016 12:00:00 AM,BOONSHO RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000699,3959 WILSHIRE BLVD STE A11,LOS ANGELES,FA0006096,CA,90010,OW0014737,"HANKOOK APPRAISAL, INC",RESTAURANT (61-150) SEATS HIGH RISK,1638,BOONSHO RESTAURANT,ACTIVE,PR0011736,['Japanese'],False,34.062126159668,-118.313461303711,$$,4.0,77,u1vtqrEXVcYEOM_dKJ_NuA
298,DAL2DJ3LS,01/05/2016 12:00:00 AM,LOS LAGOS,93,A,1,ROUTINE INSPECTION,EE0000557,4310 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0037098,CA,90022,OW0022294,LOS LAGOS FOODS ENTERPRISES,RESTAURANT (0-30) SEATS HIGH RISK,1632,LOS LAGOS,ACTIVE,PR0000844,"['Mexican', 'Seafood']",False,34.0404251,-118.1731928,$$,4.5,46,yufZswktGs0dtMgyeHqMmA
299,DAX5AKP0N,01/05/2016 12:00:00 AM,TACOS POR FAVOR,92,A,1,ROUTINE INSPECTION,EE0000629,11901 W OLYMPIC BLVD,LOS ANGELES,FA0050997,CA,90064,OW0034778,TACOS POR FAVOR INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,TACOS POR FAVOR,ACTIVE,PR0001499,['Mexican'],False,34.0329017469862,-118.452893542606,$,4.0,367,YISj-9Th8svObHMywuKg7w
300,DAX5AKP0N,01/05/2016 12:00:00 AM,TACOS POR FAVOR,92,A,1,ROUTINE INSPECTION,EE0000629,11901 W OLYMPIC BLVD,LOS ANGELES,FA0050997,CA,90064,OW0034778,TACOS POR FAVOR INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,TACOS POR FAVOR,ACTIVE,PR0001499,['Mexican'],False,34.0329017469862,-118.452893542606,$,4.0,367,YISj-9Th8svObHMywuKg7w
301,DADOQPDTN,09/23/2015 12:00:00 AM,TACOS POR FAVOR,92,A,1,ROUTINE INSPECTION,EE0000629,11901 W OLYMPIC BLVD,LOS ANGELES,FA0050997,CA,90064,OW0034778,TACOS POR FAVOR INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,TACOS POR FAVOR,ACTIVE,PR0001499,['Mexican'],False,34.0329017469862,-118.452893542606,$,4.0,367,YISj-9Th8svObHMywuKg7w
302,DADOQPDTN,09/23/2015 12:00:00 AM,TACOS POR FAVOR,92,A,1,ROUTINE INSPECTION,EE0000629,11901 W OLYMPIC BLVD,LOS ANGELES,FA0050997,CA,90064,OW0034778,TACOS POR FAVOR INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,TACOS POR FAVOR,ACTIVE,PR0001499,['Mexican'],False,34.0329017469862,-118.452893542606,$,4.0,367,YISj-9Th8svObHMywuKg7w
303,DAJRCMCI1,01/05/2016 12:00:00 AM,EL POLO LOCO #5410,95,A,1,ROUTINE INSPECTION,EE0000699,3959 WILSHIRE BLVD STE A-1,LOS ANGELES,FA0021133,CA,90010,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,EL POLO LOCO #5410,ACTIVE,PR0004353,"['Fast Food', 'Mexican']",False,34.06204,-118.3133,$,2.0,63,Ize1BfSF3Z5NTYqfdo-i0g
304,DARMUTEIT,01/05/2016 12:00:00 AM,KING BOWL,81,B,1,ROUTINE INSPECTION,EE0000923,2214 W SUNSET BLVD,LOS ANGELES,FA0020062,CA,90026,OW0040266,"ZHEN SHU TAM, ET AL",RESTAURANT (0-30) SEATS HIGH RISK,1632,KING BOWL,ACTIVE,PR0031521,['Chinese'],False,34.0780321508646,-118.26624378562,$,3.5,23,S1WK6Ptg0j0gP9OJX9QaXw
305,DAN6PE5JA,01/05/2016 12:00:00 AM,OPEN SPACE CAFE AND THEATER,95,A,1,ROUTINE INSPECTION,EE0000951,457 N FAIRFAX AVE,LOS ANGELES,FA0166657,CA,90036,OW0129767,OPEN SPACE CAFE AND THEATER,RESTAURANT (0-30) SEATS MODERATE RISK,1631,OPEN SPACE CAFE AND THEATER,ACTIVE,PR0156972,"['Coffee & Tea', 'Comedy Clubs']",False,34.0798347,-118.3617254,$,4.5,140,NV61c2VD1ZD0ucY0XIrYgA
306,DAN6PE5JA,01/05/2016 12:00:00 AM,OPEN SPACE CAFE AND THEATER,95,A,1,ROUTINE INSPECTION,EE0000951,457 N FAIRFAX AVE,LOS ANGELES,FA0166657,CA,90036,OW0129767,OPEN SPACE CAFE AND THEATER,RESTAURANT (0-30) SEATS MODERATE RISK,1631,OPEN SPACE CAFE AND THEATER,ACTIVE,PR0156972,"['Coffee & Tea', 'Comedy Clubs']",False,34.0798347,-118.3617254,$,4.5,140,NV61c2VD1ZD0ucY0XIrYgA
307,DAIFGUNWV,09/30/2015 12:00:00 AM,OPEN SPACE CAFE AND THEATER,91,A,1,ROUTINE INSPECTION,EE0000951,457 N FAIRFAX AVE,LOS ANGELES,FA0166657,CA,90036,OW0129767,OPEN SPACE CAFE AND THEATER,RESTAURANT (0-30) SEATS MODERATE RISK,1631,OPEN SPACE CAFE AND THEATER,ACTIVE,PR0156972,"['Coffee & Tea', 'Comedy Clubs']",False,34.0798347,-118.3617254,$,4.5,140,NV61c2VD1ZD0ucY0XIrYgA
