,facility_id,latitude,longitude,rating,score,clean_zip
18972,FA0053668,34.0878369659185,-118.309105485678,3.5,87,90029
18973,FA0024786,34.0472182631493,-118.29176701605302,4.0,92,90006
18974,FA0222390,34.06309,-118.29753999999998,4.0,80,90020
18975,FA0159941,33.9440935,-118.4083894,3.5,97,90045
18976,FA0171611,34.05787,-118.44496,3.5,99,92880
18977,FA0059720,34.04761,-118.28452,4.5,92,90006
18978,FA0172392,34.05787,-118.44496,3.5,95,90024
18979,FA0072473,34.04197,-118.42398,4.0,90,90064
18980,FA0068924,34.0752848173242,-118.323578635348,4.0,94,90004
18981,FA0038203,33.97488,-118.29112,1.5,85,90044
18982,FA0014283,34.07658,-118.3233,3.5,82,90004
18983,FA0163048,34.0630912780762,-118.297538757324,4.0,80,90020
18984,FA0064635,34.09893,-118.32678490000002,3.5,93,90028
18985,FA0163712,34.0985216162382,-118.343883305557,3.5,85,90028
18986,FA0067963,34.0983848571777,-118.343711853027,3.5,95,90028
18987,FA0058896,34.0868899,-118.29134,3.0,82,90029
18988,FA0025378,34.086130100000005,-118.2915951,3.5,93,90029
18989,FA0060817,34.0691649,-118.2970383,3.5,92,90020
18990,FA0019506,34.0403480529785,-118.16323852539101,2.0,90,90022
18991,FA0179912,34.0452602,-118.26389840000002,4.5,95,90015
18992,FA0020126,34.101051,-118.329277,2.5,94,90028
18993,FA0013871,34.0477278,-118.32412,3.5,95,90019
18994,FA0013871,34.0477278,-118.32412,3.5,95,90019
18995,FA0013871,34.0477278,-118.32412,3.5,95,90019
18996,FA0013871,34.0477278,-118.32412,3.5,91,90019
18997,FA0013871,34.0477278,-118.32412,3.5,91,90019
18998,FA0013871,34.0477278,-118.32412,3.5,91,90019
18999,FA0013871,34.0477278,-118.32412,3.5,100,90019
19000,FA0013871,34.0477278,-118.32412,3.5,100,90019
19001,FA0013871,34.0477278,-118.32412,3.5,100,90019
19002,FA0177158,34.0261,-118.39476,3.5,90,90034
19003,FA0203850,34.066458418965304,-118.179584294558,3.5,94,90032
19004,FA0203850,34.066458418965304,-118.179584294558,3.5,94,90032
19005,FA0203850,34.066458418965304,-118.179584294558,3.5,83,90032
19006,FA0203850,34.066458418965304,-118.179584294558,3.5,83,90032
19007,FA0044030,34.039966583252,-118.16888427734399,3.5,95,90022
19008,FA0164076,34.10187379999999,-118.3314931,4.5,90,90028
19009,FA0037671,33.9746560084359,-118.429834094382,3.5,93,90094
19010,FA0023656,33.996917724609396,-118.33023071289101,4.0,95,90043
19011,FA0033918,34.107196,-118.337897,4.0,91,90068
19012,FA0179718,34.0400772094727,-118.16888427734399,4.5,91,90022
19013,FA0015182,34.05274,-118.31841,2.5,93,90019
19014,FA0068477,34.104951,-118.272895,3.5,91,90027
19015,FA0018918,34.048296472070106,-118.44333088413099,3.5,95,90025
19016,FA0063706,34.100444372802,-118.32970364318001,4.5,90,90028
19017,FA0063706,34.100444372802,-118.32970364318001,4.5,90,90028
19018,FA0063706,34.100444372802,-118.32970364318001,4.5,86,90028
19019,FA0063706,34.100444372802,-118.32970364318001,4.5,86,90028
19020,FA0062494,34.1320571899414,-118.344657897949,4.0,95,90068
19021,FA0167263,34.0514447229569,-118.253072148274,3.5,92,90071
19022,FA0013948,34.025077,-118.307937,3.0,99,90018
19023,FA0139086,34.065066587496,-118.34381475511499,3.5,91,90036
19024,FA0043416,34.04844,-118.44281,3.0,95,90025
19025,FA0174694,34.0401861103445,-118.16238863532699,3.5,92,90723
19026,FA0052123,34.03876,-118.44218,4.0,90,90025
19027,FA0061048,34.1038459,-118.23774579999998,4.0,90,90065
19028,FA0027739,34.0450795388029,-118.260710767695,4.0,90,90015
19029,FA0138459,34.048396000000004,-118.23905,4.5,96,90012
19030,FA0139090,34.0484549,-118.2479646,4.0,97,90013
19031,FA0136736,34.022835,-118.265465,2.0,90,90011
19032,FA0017133,34.076901,-118.168809,4.5,97,90032
19033,FA0072732,34.01129470000001,-118.2826051,2.5,98,90037
19034,FA0174509,34.060520000000004,-118.36769,3.5,91,90048
19035,FA0174509,34.060520000000004,-118.36769,3.5,91,90048
19036,FA0174509,34.060520000000004,-118.36769,3.5,80,90048
19037,FA0174509,34.060520000000004,-118.36769,3.5,80,90048
19038,FA0069795,34.1011555,-118.3450772,4.0,92,90028
19039,FA0052433,34.017,-118.30854,4.5,96,90062
19040,FA0027501,34.0535049438477,-118.463813781738,4.0,93,90049
19041,FA0030464,34.0626949,-118.3039299,2.5,90,90005
19042,FA0034784,34.088596700000004,-118.276525,3.5,94,90026
19043,FA0006644,34.061615100000004,-118.2993754,3.0,96,90010
19044,FA0011407,34.08854,-118.2764983,2.5,93,90026
19045,FA0165007,34.04012,-118.4275,3.5,90,90064
19046,FA0159295,34.0752830505371,-118.21281433105499,4.5,97,90031
19047,FA0151380,34.045857914125904,-118.26745278189101,3.5,96,90015
19048,FA0151380,34.0452632224665,-118.266620451555,4.0,96,90015
19049,FA0151380,34.0452632224665,-118.266620451555,4.0,96,90015
19050,FA0151380,34.044677734375,-118.26617431640601,3.0,96,90015
19051,FA0151380,34.044677,-118.266177,3.5,96,90015
19052,FA0041479,34.045857914125904,-118.26745278189101,3.5,98,90015
19053,FA0041479,34.0452632224665,-118.266620451555,4.0,98,90015
19054,FA0041479,34.0452632224665,-118.266620451555,4.0,98,90015
19055,FA0041479,34.044677734375,-118.26617431640601,3.0,98,90015
19056,FA0041479,34.044677,-118.266177,3.5,98,90015
19057,FA0149540,34.045857914125904,-118.26745278189101,3.5,95,90015
19058,FA0149540,34.0452632224665,-118.266620451555,4.0,95,90015
19059,FA0149540,34.0452632224665,-118.266620451555,4.0,95,90015
19060,FA0149540,34.044677734375,-118.26617431640601,3.0,95,90015
19061,FA0149540,34.044677,-118.266177,3.5,95,90015
19062,FA0149540,34.045857914125904,-118.26745278189101,3.5,98,90015
19063,FA0149540,34.0452632224665,-118.266620451555,4.0,98,90015
19064,FA0149540,34.0452632224665,-118.266620451555,4.0,98,90015
19065,FA0149540,34.044677734375,-118.26617431640601,3.0,98,90015
19066,FA0149540,34.044677,-118.266177,3.5,98,90015
19067,FA0151380,34.045857914125904,-118.26745278189101,3.5,98,90015
19068,FA0151380,34.0452632224665,-118.266620451555,4.0,98,90015
19069,FA0151380,34.0452632224665,-118.266620451555,4.0,98,90015
19070,FA0151380,34.044677734375,-118.26617431640601,3.0,98,90015
19071,FA0151380,34.044677,-118.266177,3.5,98,90015
19072,FA0151380,34.045857914125904,-118.26745278189101,3.5,95,90015
19073,FA0151380,34.0452632224665,-118.266620451555,4.0,95,90015
19074,FA0151380,34.0452632224665,-118.266620451555,4.0,95,90015
19075,FA0151380,34.044677734375,-118.26617431640601,3.0,95,90015
19076,FA0151380,34.044677,-118.266177,3.5,95,90015
19077,FA0151380,34.045857914125904,-118.26745278189101,3.5,100,90015
19078,FA0151380,34.0452632224665,-118.266620451555,4.0,100,90015
19079,FA0151380,34.0452632224665,-118.266620451555,4.0,100,90015
19080,FA0151380,34.044677734375,-118.26617431640601,3.0,100,90015
19081,FA0151380,34.044677,-118.266177,3.5,100,90015
